death,blackd,whitvic,serious,culp,serious2,slogs
0,1,0,7.1,2,3.4,13.916672967
1,0,1,11.5,5,4.66666666,28.086990907
0,0,0,6,2,3,10.750556815
0,0,1,8.4,4,3.2,17.877146329
1,1,0,12.2,5,4.2,30.517518611
0,0,0,7.7,1,3.2,15.717396532
1,1,0,3.66666666,2,2.83333333,4.7640375931
1,0,1,12.8,5,4.8,32.632898188
0,1,0,7,1,3.2,13.621371043
0,1,0,7.875,5,2.75,16.25158383
0,1,1,3.7,1,2.4,4.8408314327
0,1,1,7.3,1,3.4,14.511482742
0,0,1,9.2,1,3.2,20.416672053
0,1,0,8.6,1,3.8,18.505154948
1,1,0,8,5,3.8,16.635532333
0,1,0,3.58333333,1,2.83333333,4.5733849119
0,0,1,10.7,2,4,25.361608034
1,0,1,7.2,5,3,14.213383387
0,1,0,4.8,1,2.2,7.529356406
0,1,0,1.6,1,1.8,0.7520058068
1,0,1,6.9,2,3,13.32749774
0,0,1,7.4,3,3.8,14.810952002
0,0,1,6.7,1,3.2,12.744120427
0,1,1,6.8,1,2.6,13.035073763
1,1,0,9.8,1,4.2,22.36734738
0,0,1,9.4,1,3.4,21.062671079
0,0,1,1.4,1,1.4,0.4710611313
0,1,0,8.1,1,3.2,16.9440989
0,1,0,1.6,1,1,0.7520058068
0,1,0,2.25,1,1,1.8245929865
0,0,0,10.9,2,4.4,26.037514403
0,0,0,9.3,2,3.8,20.739133921
1,0,0,6,5,2.5,10.750556815
1,1,1,9.8,2,4,22.36734738
0,0,1,4.6,2,2.6,7.0198589961
1,1,1,8.4,5,3.6,17.877146329
0,0,0,8.16666666,1,3.83333333,17.150496749
0,1,1,4.6,1,2.4,7.0198589961
0,0,1,5.3,1,2.4,8.838846149
1,1,1,7.8,4,3.8,16.022165123
0,1,1,6.5,1,2.8,12.16671415
1,1,0,6.8,3,3.4,13.035073763
1,1,1,11,5,3.8,26.376848001
1,0,1,11.7,3,3.8,28.777189449
0,1,0,8.8,1,4,19.137815149
0,1,1,6.2,1,2.6,11.312205611
1,0,1,4,4,2.4,5.5451774445
0,0,1,10.6,2,5,25.025052412
1,0,0,13.6,5,4.6,35.496949181
0,0,1,5.1,1,2.8,8.3091267526
1,0,1,10.9,5,3.6,26.037514403
1,1,1,5.8,2,2.8,10.195575922
0,0,1,4.7,1,3,7.273543791
0,0,1,4.8,1,2.4,7.529356406
0,0,1,4.2,4,2,6.0273550062
1,0,1,13.5,4,4.8,35.136310753
0,0,1,3.6,1,1.8,4.6113618437
0,0,1,2.6,1,2.6,2.4843297571
1,1,0,11.6666666,5,4.66666666,28.661917119
0,1,0,5.1,1,2.2,8.3091267526
0,0,0,6.6,1,3,12.454659684
0,0,1,6.4,2,3,11.880307138
0,0,1,8.8,2,3.8,19.137815149
1,0,1,9.7,5,4,22.039621089
1,1,0,6.66666666,2,3.33333333,12.647466547
0,0,1,11.2,1,4,27.058234317
0,0,1,4.5,2,2.4,6.7683482855
0,1,0,5.16666666,1,3.16666666,8.4848432812
0,0,0,11.9,4,4.4,29.470806961
1,1,0,2,5,1.4,1.3862943611
0,1,1,10.0833333,1,4.33333333,23.301412506
1,0,1,5.2,4,3,8.5730248531
1,1,0,8.1,4,3.4,16.9440989
0,1,0,5.2,1,3,8.5730248531
0,0,1,4.7,1,2.4,7.273543791
0,0,1,7.3,1,3.6,14.511482742
0,1,0,10.4,2,3.8,24.354780384
1,1,0,7.58333333,5,3.83333333,15.36347582
1,1,0,9.9,5,3.6,22.696094096
0,0,1,9.2,1,3.8,20.416672053
0,0,1,10.3,1,4.2,24.021082121
0,0,1,7.4,1,3,14.810952002
0,0,0,8,1,3.2,16.635532333
0,0,1,9.25,1,3.75,20.577767852
0,1,1,9.2,1,3.2,20.416672053
1,0,1,7.58333333,3,3.66666666,15.36347582
0,0,1,11.9,1,4,29.470806961
1,1,0,7.5,4,3,15.111772654
0,1,0,3.6,1,2.2,4.6113618437
1,0,1,10,4,3.6,23.02585093
0,0,1,1.875,1,1,1.1786412364
0,1,0,10,2,4,23.02585093
0,1,1,8.83333333,1,4.16666666,19.243703248
0,1,0,5.8,1,2.4,10.195575922
0,1,1,7.5,2,3,15.111772654
0,1,0,3,1,1.5,3.295836866
0,1,0,1.8,1,1.4,1.0580159968
0,1,0,5.75,1,2.5,10.057899165
1,1,0,8.6,4,4.2,18.505154948
0,0,1,12.25,1,4.25,30.692692728
0,1,1,9.3,1,4,20.739133921
0,0,0,2.7,1,2.2,2.6817797871
1,0,1,8.9,4,4,19.455856363
0,0,1,8.9,2,3.8,19.455856363
1,0,1,8.3,3,3.6,17.564920773
0,0,1,11.5,5,4.5,28.086990907
1,1,0,11.2,3,4.6,27.058234317
0,0,1,10,3,3.8,23.02585093
1,0,1,13.8,5,4.4,36.220426572
0,0,1,6.25,1,2.25,11.453634148
0,0,0,13.7,5,5,35.85832291
1,0,1,12.8,5,4.8,32.632898188
0,1,0,8.41666666,1,3.83333333,17.929300027
0,1,1,7.6,1,3.2,15.413926679
0,0,1,13.7,5,5,35.85832291
1,0,1,9.75,4,3.75,22.203356029
0,0,1,6.2,1,2.4,11.312205611
0,1,1,11.9,1,4.4,29.470806961
0,0,1,2.3,1,2.4,1.9156909828
0,1,1,5.7,1,2.4,9.9206571966
0,0,0,9.5,2,3.6,21.387272087
1,0,0,2.2,2,1.2,1.7346061928
1,1,0,12,5,4.2,29.818879797
1,1,1,12,1,4.4,29.818879797
0,0,0,4.16666666,1,3.33333333,5.9463181323
0,1,1,9.4,2,4,21.062671079
0,1,0,9.25,2,4.16666666,20.577767852
1,1,1,7.1,1,3.4,13.916672967
0,1,0,11.25,1,4,27.229141447
1,1,1,6,3,2.6,10.750556815
0,0,1,3.6,2,2,4.6113618437
0,1,0,5.3,1,2.8,8.838846149
0,1,1,13.6666666,3,4.66666666,35.737783392
